epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,966.14,0.9392,1.0031,1.00379,0.17209,0.26014,0.25088,0.18964,1.32868,5.98932,1.18847,0.0702083,0.00331019,0.00331019
2,1930.51,0.92832,0.72422,0.98684,0.29753,0.36141,0.27397,0.13082,1.28423,31.394,1.47604,0.0400474,0.00648257,0.00648257
3,2883.38,0.87679,0.66602,0.98174,0.77227,0.74871,0.80297,0.54122,1.10979,1.11537,1.09906,0.00926516,0.00903367,0.00903367
4,3828.38,0.79798,0.59668,0.94362,0.94629,0.90544,0.96085,0.75896,0.73204,0.62255,0.91536,0.00795954,0.00795954,0.00795954
5,4776.11,0.72668,0.51395,0.91629,0.98528,0.92591,0.97811,0.80372,0.67924,0.47658,0.90374,0.00657963,0.00657963,0.00657963
6,5720.82,0.68463,0.46851,0.89538,0.98477,0.95068,0.98547,0.81931,0.62583,0.43939,0.88015,0.00505,0.00505,0.00505
7,6660.58,0.64546,0.43271,0.88345,0.98425,0.96297,0.98818,0.84575,0.59325,0.38519,0.86888,0.00352037,0.00352037,0.00352037
8,7597.71,0.59003,0.38262,0.8643,0.97568,0.96727,0.98952,0.85699,0.55864,0.35111,0.85614,0.00214046,0.00214046,0.00214046
9,8534.31,0.56144,0.34672,0.85548,0.98081,0.97197,0.99113,0.87077,0.52423,0.3193,0.84814,0.00104537,0.00104537,0.00104537
10,9475.89,0.53054,0.32299,0.8474,0.98268,0.97523,0.9922,0.87852,0.50937,0.29994,0.84362,0.00034227,0.00034227,0.00034227
